Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-7-DOM-MK.A","        Dominican Republic","0.96","0.96","0.96","0.96","0.96","0.96","1.065","1.405","1.405","1.447","1.46","1.46","1.61","1.61","1.612","1.612","1.638","2.629","2.941","3.081","2.532","2.867","2.928","3.351","3.252","3.177","3.206","3.206","2.958","2.981","3.012","3.044","3.172","3.719","3.784","3.739","3.839","3.879","NA",""
"INTL.2-7-ECU-MK.A","        Ecuador","1.194","1.335","1.833","1.778","1.795","1.802","1.956","1.966","1.914","1.903","1.671","1.684","2.294","2.446","2.563","2.55","2.739","3.126","3.419","3.48","3.392","3.251","3.407","3.302","3.329","3.623","4.06","4.552","4.284","4.934","5.233","5.317","5.4441","5.485","5.726","6","8.218","7.397","7.864",""
"INTL.2-7-EGY-MK.A","        Egypt","4.957","5.165","4.947","5.782","6.726","9.067","11.54","9.579","10.312","11.474","11.728","11.793","12.09","11.911","12.047","12.978","16.707","16.775","17.094","17.861","17.3021","17.1635","17.0626","17.1316","19.4046","20.5296","21.9866","22.6457","23.5449","24.733","27.677","29.727","31.452","32.133","35.408","39.045","45.219","55.14","NA",""
"INTL.2-7-SLV-MK.A","        El Salvador","0.404","0.405","0.405","0.59","0.626","0.608","0.608","0.608","0.608","0.608","0.608","0.608","0.646","0.766","0.766","0.857","0.857","0.857","0.854","0.95","1.1181","1.1292","1.0554","1.1065","1.1166","1.2619","1.2599","1.42","1.527","1.5765","1.559","1.598","1.616","1.72","1.713","1.8564","1.9624","2.1524","2.2784",""
"INTL.2-7-GNQ-MK.A","        Equatorial Guinea","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.012","0.012","0.018","0.021","0.031","0.056","0.056","0.06","0.06","0.06","0.06","0.06","0.305","0.31","0.31","0.331","0.331","0.331","NA",""
"INTL.2-7-ERI-MK.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.15","0.15","0.151","0.168","0.168","0.141","0.141","0.14","0.14","0.14","0.14","0.1403","0.1603","0.161","0.163","NA",""
"INTL.2-7-EST-MK.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","3.406","3.333","3.288","2.693","2.7","2.722","2.624","2.624","2.799","2.445","2.403","2.417","2.691","2.559","2.557","2.627","2.694","2.665","2.7511","2.8252","2.9234","2.912","3.033","2.864","2.578","2.538","NA",""
"INTL.2-7-SWZ-MK.A","        Eswatini","0.082","0.087","0.075","0.076","0.082","0.082","0.085","0.109","0.119","0.122","0.122","0.122","0.122","0.13","0.13","0.131","0.131","0.131","0.131","0.131","0.168","0.168","0.189","0.189","0.189","0.1891","0.1902","0.1902","0.2092","0.2103","0.2106","0.2757","0.2808","0.2958","0.2818","0.282","0.282","0.282","NA",""
"INTL.2-7-ETH-MK.A","        Ethiopia","0.243","0.243","0.243","0.253","0.253","0.253","0.252","0.367","0.405","0.405","0.406","0.409","0.409","0.409","0.419","0.419","0.42","0.423","0.423","0.443","0.529","0.554","0.738","0.738","0.835","0.8403","0.837","0.85","0.966","1.645","2.1023","2.2325","2.254","2.431","2.526","2.7773","2.7453","4.4003","NA",""
"INTL.2-7-FLK-MK.A","        Falkland Islands","0.001","0.001","0.001","0.004","0.005","0.006","0.006","0.006","0.006","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.009","0.00901","0.00901","0.01","0.01","0.01","0.01","0.01","0.01","0.011","0.011","0.0121","0.0121","0.0121","NA",""
"INTL.2-7-FRO-MK.A","        Faroe Islands","0.048","0.048","0.048","0.068","0.068","0.068","0.068","0.091","0.091","0.091","0.091","0.091","0.091","0.091","0.091","0.091","0.091","0.086","0.086","0.086","0.087","0.096","0.096","0.098","0.097","0.099","0.099","0.099","0.1","0.1","0.1","0.1","0.108","0.108","0.126","0.1273","0.1283","0.1303","NA",""
"INTL.2-7-FJI-MK.A","        Fiji","0.112","0.113","0.197","0.189","0.202","0.197","0.2","0.195","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.204","0.204","0.199","0.243","0.243","0.243","0.243","0.244","0.264","0.264","0.284","0.291","0.291","0.2912","0.2913","0.296","0.296","0.306","0.307","0.309","0.325","NA",""
"INTL.2-7-FIN-MK.A","        Finland","10.954","10.852","11.063","11.189","11.314","11.313","11.641","11.661","11.893","11.806","12.237","12.344","12.271","13.023","13.002","13.281","13.463","14.585","15.026","14.926","16.26","16.506","16.569","16.556","16.567","16.468","16.562","16.703","15.564","15.291","15.669","15.703","15.78","16.655","16.247","16.614","16.286","17.156","NA",""
"INTL.2-7-CSK-MK.A","        Former Czechoslovakia","16.085","17.121","18.117","18.547","19.582","20.389","21.024","21.102","21.114","21.112","21.549","21.354","20.784","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-7-SCG-MK.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","9.29","10.521","10.864","10.83","9.598","9.598","9.598","9.644","9.644","9.644","9.315","9.315","9.225","8.732","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
