Report generated on: 09-17-2020 15:41:27
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.4008-8-CRI-MMTCD.A","        Costa Rica","2.2649","2.3","2.1","2.3","2","2.1","2","2.3","2.7","2.9","2.7","2.9","3.6","4","4.000444758","4.700502481","4.40053382","4.500612696","5.000581206","5.100649922","5.000651266","5.289586735","5.389632792","5.946699107","5.681420952","5.69324841","6.501001686","6.904373732","6.800824285","6.60087305","6.801748174","7.124154734","7.069860975","7.321575108","7.465908724","7.143167529","7.723058113","8.087165807"
"INTL.4008-8-HRV-MMTCD.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","16.286586247","16.550222576","17.692472662","19.390012837","17.582695741","18.5613862","20.206405531","20.065132324","20.094799982","20.424106971","21.423819953","22.609326707","22.182103768","21.961702456","22.87638446","20.487390349","22.603680044","20.279355735","19.339818965","19.37595953","19.028053096","17.665169802","16.53006271","16.76176207","17.018351372","17.281214647"
"INTL.4008-8-CUB-MMTCD.A","        Cuba","29.944604789","30.457466241","33.553451563","30.434603314","31.478610957","31.550103843","34.525141813","34.538801067","35.502105683","35.328708795","35.673896273","32.471455594","29.256420302","28.290233384","29.365660276","31.351838943","30.138250744","33.574587227","32.905532328","33.115514798","32.296228823","32.664625927","33.800378776","32.825753389","32.825255666","28.868646499","24.828528858","19.085496219","29.228615037","29.221729919","28.057132641","25.10088892","28.425222695","27.117107824","27.815524427","30.158298974","23.149599654","27.461913545"
"INTL.4008-8-CYP-MMTCD.A","        Cyprus","2.82934","2.4","2.6","2.9","2.951298152","3.173001216","3.554257661","3.848961941","3.989771766","4.800623298","4.995690783","5.095690783","6.025649076","6.130581591","6.826635579","6.719730058","6.717757053","6.718743556","7.225649076","7.829595088","7.448338643","8.152284655","7.952284655","8.052284655","8.55721717","8.752284655","9.254257661","8.875064955","9.74044662","9.221703064","8.826635579","8.635895564","8.108946287","7.17699212","7.304746228","7.432650595","8.131495391","8.115110224"
"INTL.4008-8-CZE-MMTCD.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","130.076821239","123.143268675","123.735183364","128.728308107","126.645669132","119.686751932","109.112485573","122.717019737","122.891080245","119.235767182","124.241926302","125.550688426","123.848266785","123.367384152","124.943352732","120.623136203","113.563991126","115.533128814","114.689919183","111.339162219","105.907025083","106.084672758","107.394695663","107.102925149","110.78158889"
"INTL.4008-8-CIV-MMTCD.A","        Côte d’Ivoire","4.01485","4.3","3.9","4.2","4.1","4.3","4.8","5.3","5.6","5.6","4.6","3.8","3.9","4.4","4.6","4.578325965","5.406233565","5.277055942","5.369407923","7.028758271","7.34837587","5.84837587","5.813263639","5.813263639","6.338240843","6.338240843","6.238240843","6.013354819","6.400911807","6.500911807","6.804068151","6.411549466","8.070046554","9.377470431","9.839029019","10.214946661","11.608149486","11.315965486"
"INTL.4008-8-DNK-MMTCD.A","        Denmark","62.302883572","53.267448002","53.959329823","50.645232785","53.818649904","60.967693884","61.64954955","61.948242854","59.32574828","53.474137915","55.184768417","63.683838003","58.369675319","61.834724297","67.215175094","64.427909675","75.800293297","66.706625342","63.017163773","59.854803634","55.989511101","57.185450998","54.931292613","60.368894145","55.017380584","51.870559742","59.934126665","55.734427073","52.394677493","49.102075817","50.143495681","45.571374936","41.104265492","43.096863123","39.383254659","36.895774857","38.596635408","36.200614498"
"INTL.4008-8-DJI-MMTCD.A","        Djibouti","1.45833","1.2","1.2","0.9","0.7","0.7","0.7","0.7","0.7","1.7","1.7","1.7","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.9","1.9","1.9","1.9","1.9","1.9","1.7","0.982168865","1.7","1.2","1.2","0.642204383","0.851072193","0.913989133","0.926809265","0.817987","0.742559","0.861531"
"INTL.4008-8-DMA-MMTCD.A","        Dominica","0.02679","0.03498","0.03502","0.03498","0.03501","0.03991","0.04022","0.04337","0.05548","0.05862","0.05852","0.05845","0.05909","0.06224","0.07183","0.08101","0.08119","0.08116","0.0843","0.0843","0.07958","0.1","0.1","0.1","0.1","0.0924","0.1","0.121246436","0.1","0.1","0.1","0.170095617","0.169940463","0.161291994","0.171749852","0.18743","0.18855","0.246684"
"INTL.4008-8-DOM-MMTCD.A","        Dominican Republic","5.43528","5.2","5.6","6.7","5.9","6.148791341","6.860989176","7.550533889","8.321128393","8.121781849","9.037029143","8.746251712","9.84461691","8.650892072","9.835323391","11.180759592","11.230629796","12.234988328","12.331823319","14.117588719","16.209870936","16.44555316","17.508820597","17.423597485","17.194172363","17.527672331","18.024368941","18.628428254","18.645610186","17.78396985","18.236588997","19.61785108","21.101810589","20.094532458","19.765231558","22.363435954","23.750603754","22.017438992"
