"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.57-3-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2016"
"Wed Sep 19 2018 19:06:46 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Petroleum (annual)","1000 bbl/d"
"","Imports",""
"","Total Petroleum and Other Liquids",""
"","Crude Oil, NGPL, and Other Liquids",""
"","Crude Oil including Lease Condensate",""
"","Egypt","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.506,0.252,0,0,0.001,0.002,5.567,28.428,37.038,41.229,47.633,47.919,50.371,37.417,49.703,48.94,52.221,74.99,53.499,91.65,68.052,70.411
"","El Salvador","1000 bbl/d",12.57,12.25,10.719,12.157,12.1,12.892,13.462,14.222,13.29,12.788,13.386,15.509,16.542,18.897,16.058,15.252,14.947,15.88,16.362,18.054,19.212,19.822,18.736,19.136,19.517,20.069,17.042,19.555,16.147,17.004,15.385,13.938,10.165,0,0,0,0.001
"","Equatorial Guinea","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Eritrea","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.98,12.66,13.58,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
"","Estonia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Ethiopia","1000 bbl/d",12.72,15,12.72,15,15,14.66,14.62,13.4,16.3,16.24,14.64,14.7,14,14.8,9.48,13.34,14.24,14.14,14.36,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Falkland Islands (Islas Malvinas)","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Faroe Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Fiji","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.002
"","Finland","1000 bbl/d",259.279,217.546,195.86,208.056,188.136,198.445,200.585,215.749,179.961,178.334,175.931,200.403,178.592,166.098,198.627,164.058,191.177,193.457,228.571,217.708,218.966,198.344,219.02,220.716,222.208,193.235,215.285,225.34,223.657,217.748,217.465,222.836,217.898,225.219,227.501,203.392,226.517
"","Former Czechoslovakia","1000 bbl/d",562.382,535.83,489.277,486.652,491.837,495.547,504.29,507.803,490.226,495.224,394.204,227.359,220.657,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Serbia and Montenegro","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,20.027,4.016,4.016,6.025,25.635,42.273,30.786,7.571,5.628,37.574,51.852,58.439,66.371,61.713,--,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","1000 bbl/d",70,84,152,216,281,248,292,280,395,266,167,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","1000 bbl/d",222,190,174,182,196,176,212,241,278,274,253,177,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","France","1000 bbl/d",2204.858,1777.987,1485.974,1342.774,1374.223,1353.718,1307.902,1227.135,1327.405,1325.934,1404.661,1473.273,1429.76,1507.68,1507.195,1557.089,1672.285,1765.61,1824.125,1653.081,1720.935,1739.643,1611.95,1723.692,1713.686,1699.36,1649.749,1635.534,1665.721,1441.774,1294.031,1295.969,1139.088,1120.321,1081.936,1145.722,1092.17
"","French Guiana","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","French Polynesia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Gabon","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Gambia, The","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.009,0.058,0.01,0.009,0.165,0.113,0.197,0.141,0.242,0.119,0.044,0,0,0,0.002,0.004,0.001,0.002,0.002,0,0
"","Georgia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,6.162,5.477,2.739,1.556,0.374,5.853,3.284,4.855,3.155,3.611,1.11,1.482,0.907,0.333,0.156,0.274,0.841,0.098,0.12,0.16,0.475,0.79,0.203,2.667,0.853
"","Germany","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,1792.061,1994.833,2010.778,2145.619,2036.866,2086.254,2030.162,2208.557,2098.592,2087.844,2123.59,2118.057,2149.698,2217.565,2267.82,2214.009,2156.805,2121.694,1979.36,1883.247,1827.74,1881.182,1828.709,1805.085,1843.005,1837.305
"","Germany, East","1000 bbl/d",602.241,501.937,470.342,429.171,434.035,421.645,434.244,422.17,419.219,410.186,402.673,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","1000 bbl/d",1806.722,1505.812,1411.027,1287.514,1302.104,1264.934,1302.733,1266.509,1416.052,1330.043,1375.415,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","1000 bbl/d",20.811,21.63,20.592,8.189,16.198,17.776,16.837,17.676,16.717,18.275,16.358,19.773,18.834,13.821,21.79,16.637,19.893,3.555,23.967,32.695,25.665,30.738,35.571,38.627,39.486,39.306,34.213,41.024,39.466,19.633,33.194,30.598,24.167,26.004,13.841,6.211,18.636
"","Gibraltar","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Greece","1000 bbl/d",356.579,373.487,294.194,245.027,244.056,227.46,339.464,306.491,282.557,276.365,293.568,249.611,281.248,237.799,260.757,309.52,352.975,362.584,374.941,321.938,390.066,381.746,385.986,399.434,408.713,377.566,400.524,410.499,388.355,359.01,406.44,333.447,421.922,392.407,420.514,445.935,472.485
"","Greenland","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Grenada","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Guadeloupe","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Guam","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
