"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Former Serbia and Montenegro","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former Yugoslavia","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","France","MMBTU/Person",153.11,141.15,139.92,142.09,144.78,147.16,149.38,150.99,152.04,153.98,156.79,166.69,166.93,166.36,165.27,169.25,174.39,173.01,176.13,177.78,178.61,181.56,178.3,178.32,180.27,180.52,179.81,175.86,176.14,165.9,168.82,163.42,161.11,161.35,154.2,154.03
"","French Guiana","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","French Polynesia","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Gabon","MMBTU/Person",39.32,43.06,39.04,52.79,46.06,38.42,33.88,37.5,39.75,46.59,45.46,45.34,45.14,41.96,42.21,38.82,39.41,40.43,37.74,33.68,30.2,30.07,28.75,28.55,28.92,27.63,28.97,29.93,32.18,32.74,30.37,28.71,34.57,35.32,36.08,35.06
"","Gambia, The","MMBTU/Person",3.31,3.18,3.05,2.94,2.83,2.73,2.6,3.72,3.56,3.41,3.27,3.17,3.07,2.98,2.89,2.81,2.73,2.65,2.57,2.5,3.25,3.14,3.04,2.94,2.85,2.77,3.35,3.89,3.77,3.65,4.14,3.43,3.32,3.76,3.57,3.64
"","Georgia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,62.58,38.2,30.21,30.19,32,21.66,34.21,30.1,29.09,26.93,31.08,28.77,29.86,33.61,31.26,38.48,40.61,41.42,44.87,42.12,44.24,50.68,53.6,45.36
"","Germany","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,179,174.91,174.3,173.03,176.82,177.03,176.45,175.96,173.11,174.04,177.74,174.54,173.6,176.4,173.81,176.93,170.74,175.03,164.99,174.39,167.34,168.63,166.63,161.09,161.41
"","Germany, East","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Germany, West","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Ghana","MMBTU/Person",7.99,7.44,7.16,4.61,4.13,4.59,5.95,6.32,6.69,7.23,6.85,6.95,7.34,6.99,7.05,6.95,7.2,6.92,5.28,6.28,7.52,7.3,6.57,6.1,6.9,6.93,6.77,5.86,6.58,7.21,8.11,9.53,9.52,9.95,9.53,8.78
"","Gibraltar","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Greece","MMBTU/Person",78.27,75.38,73.52,74.95,77.29,81.36,83.83,89.73,95.32,99.22,101.63,102.23,98.05,102.48,103.31,106.35,107.87,112.39,118.78,117.66,123.68,124.74,124.56,131.46,130.3,130.55,134.13,135.69,132.76,126.31,120.91,117.69,109.2,101.65,98.64,101.42
"","Greenland","MMBTU/Person",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
