Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.53-1-COG-TBPD.A","        Congo-Brazzaville","","","","","","","","65","83","89","87","121","120","119","123","144","164","165","156","174","180.7","179.6041095890411","187.57397260273973","200.62622950819673","264.9328767123288","277","282.8383561643836","291.90739878406026","266.35026994523855","259.962099289211","255.52325595110136","242.9270367319575","235.8758109589041","247.29631506849316","213.6507397260274","239.8774918032787","274.48627397260276","345.96821643835614","295.8848520547945","270.414349726776","248.03452602739725","241.00748493150684","245.2174","204.73532513661203","252.68968493150686","347.1417397260274","335.5280410958904",""
"INTL.53-1-COD-TBPD.A","        Congo-Kinshasa","","","","","","","","20","20","23","25","32","33","32","32","30","28","29","28","26","24.8","26.06027397260274","29.9","29.9","28.328767123287673","26.838356164383562","22","26.01703483125683","24.0170815020274","22.665753424657535","22","21.084699453551913","19.747945205479454","20","22.156164383561645","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19.161643835616438","17","15",""
"INTL.53-1-COK-TBPD.A","        Cook Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CRI-TBPD.A","        Costa Rica","","","","","","","","0","0","0","0","0","0","-0.2","-0.1","-0.1","-0.2","-0.2","-0.2","-0.2","-0.3","-0.1","-0.3","-0.3","-0.3","0","0","-0.00012561150273224","0.0713765502794521","0.477792393183562","0.729212069183562","1.022570715892015","1.877","1.856","2.637","2.308","1.226","-0.109","-0.04","1.259","1.324","1.331","1.479","1.571","1.571","1.571","1.571",""
"INTL.53-1-HRV-TBPD.A","        Croatia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","41","43.053","47.3","41.7","37.9","38.2","40.2","33.4","33.41746741171038","32.40940407304658","31.22240888633425","31.33015499807671","28.77785643854645","27.690534246575343","25.62868493150685","23.835613698630137","22.098666666666666","24.44482191780822","23.606561643835615","21.352054794520548","20.685333333333332","20.625260273972604","20.049630136986302","18.68517808219178","18.527967213114753","18.926","18.841068493150686","18.339698630136986",""
"INTL.53-1-CUB-TBPD.A","        Cuba","","","","","","","","6","9","11","13","16","19","17","17","13","13","12","12","16","19.9","24.1","25.767123287671232","31.2","32.9","34.3","40.8","43.87799094147544","51.462379943638375","48.543994153009315","56.27551830410411","59.2131002121694","53.455","52.25","51.634","50.699","46.342","56.489","58.401","55.29450273224044","53.526","53.169","50.335","49.73733333333333","49.904","49.904","49.904",""
"INTL.53-1-CYP-TBPD.A","        Cyprus","","","","","","","","0","0","0","0","0","0","0.0194789579452054","-0.0147335736068493","-0.0112737022909837","0.0226569510315068","0.0465942273342465","-0.0344916283068494","-0.1","-0.2","-0.1","-0.2","0","-0.3","-0.3","-0.4","-0.36403034536612","-0.356835959665753","-0.258762477715068","-0.191359223515721","-0.0728530446899453","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0.02","0.01","0","0","0",""
"INTL.53-1-CZE-TBPD.A","        Czech Republic","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","2.488","2.8","3.9","5.3","4.6","4.6","9.56027397260274","9.362426229508197","9.2454602739726","12.475347945205481","15.345887671232877","17.1667568306011","17.544068493150686","16.089369863013697","13.743698630136986","11.62656830601093","10.390109589041096","15.764780821917808","16.278931506849315","16.75","14.43","17.815","18.051616438356163","15.586333333333334","19.765","19.765","19.430753424657535",""
"INTL.53-1-CIV-TBPD.A","        Côte d’Ivoire","","","","","","","","2","8","10","24","28","29","20","18","12","1.7","1.7","1.8","1.3","0.799986301369863","7.3","8.523287671232877","16.3","19.567123287671233","20.9","16","12.364666830229508","11.540633801320547","13.07470763368767","19.851584684147944","27.77690719486575","39.936","63.297","53.044","59.93202732240437","58.480260273972604","44.541876712328765","40.27404109589041","38.71330054644809","38.083","37.04","30.943301369863015","41.881590163934426","55.357","53.357","51.357",""
"INTL.53-1-DNK-TBPD.A","        Denmark","","","","","","","","5.3","15","34","44","46","58","76","97","99","117","121","144","163","174.18416438356164","185.57808219178082","187.27671232876713","210.02349726775955","233.2821917808219","240.65342465753426","302.58082191780824","365.17927049180327","348.9895835616438","373.4323589041096","378.40922465753425","392.7448961748634","380.7835698630137","345.75681369863014","315.2797123287671","290.4678879781421","264.30768493150686","249.2904301369863","225.07534520547946","205.91418306010928","180.12616712328767","169.62871232876714","160.76157534246576","145.67361202185793","142.4461506849315","123.5502602739726","110.44341095890411",""
